date,underlying_price,strike_price,option_price,iv,dte,volume,profit
2024-01-01,105.03965590926946,110,2.923159896224109,0.1897933668256008,8,926,1
2024-01-02,104.62838938358357,115,3.383184312254727,0.34221853880768466,7,149,0
2024-01-03,102.77961685875476,115,3.488119826828727,0.3304247756133991,24,933,0
2024-01-04,101.41179959873176,110,2.275676220527739,0.15718381944543802,19,725,1
2024-01-05,99.32997730091694,100,1.8515478795094844,0.17738590656928163,13,837,1
2024-01-06,113.62466230807213,110,2.206868157327525,0.215874700934359,23,632,1
2024-01-07,95.89986721151702,115,2.0652798637769285,0.2714018301873871,8,409,0
2024-01-08,95.82987653319465,115,3.8079101320466613,0.19096780687435377,26,183,1
2024-01-09,111.61699556409641,115,2.9886719433227507,0.34056403125625756,25,868,1
2024-01-10,104.21562451384672,105,3.1244632649566375,0.19361536849322591,6,301,1
2024-01-11,108.64772057996615,110,3.5165982057728025,0.2352909983597966,5,830,1
2024-01-12,103.16871724717706,100,1.7001535741632194,0.21358006999873483,16,432,0
2024-01-13,102.04579967315395,110,2.916194973407969,0.15071101431219425,8,168,0
2024-01-14,102.58147225225989,105,3.568182949870661,0.28143868173983766,28,432,0
2024-01-15,107.23531634540569,105,2.4277524651783833,0.26003292624035423,21,370,1
2024-01-16,109.23765443679929,110,3.9788833546138247,0.19018116257237785,14,989,1
2024-01-17,100.39583973382399,100,2.5781082713290564,0.2601654792109859,5,846,0
2024-01-18,99.21375441155566,105,1.6207505193870317,0.28262929779080304,6,230,0
2024-01-19,99.23366395956724,100,2.6176300993899124,0.23037018742536686,18,358,0
2024-01-20,112.75617236349707,105,1.6220765585158567,0.32690492920166736,23,688,1
2024-01-21,104.36837628782735,115,2.572112369275612,0.32488853965208175,14,375,1
2024-01-22,104.03511580660484,115,3.3766729849231543,0.1803671993757171,6,741,1
2024-01-23,100.82091274932066,100,3.61456132322787,0.2762504145325416,23,636,0
2024-01-24,108.10503903648147,105,3.790397364350372,0.3455801082802758,5,633,1
2024-01-25,110.69931488553964,110,2.582106141634856,0.30129202713214376,14,522,1
2024-01-26,104.28705888742952,110,3.5006734601319174,0.2871914994261421,9,693,1
2024-01-27,99.68824429639633,105,3.721764731409894,0.20746862827962712,23,996,1
